item_id,filename,media_type,source_archive,internal_path,tranche,agency,sha256,byte_size,source_url,retrieval_timestamp,archiver_version,pdf_page_count,image_width,image_height,video_duration_sec,video_resolution,country,date,date_precision,item_type
1,65_HS1-834228961_62-HQ-83894_Section_2.pdf,text,Release_1.zip,Release_1/65_HS1-834228961_62-HQ-83894_Section_2.pdf,Tranche_1,unknown,e196678aefbf9d1239524925838250d452ac3155789d226d6ebe0158b915070e,118380300,https://www.war.gov/ufo/pursue-initiative/,2026-05-12T22:26:48Z,1.0.0,194,,,,,,,,
2,FBI-Photo-B15.pdf,text,Release_1.zip,Release_1/FBI-Photo-B15.pdf,Tranche_1,unknown,0c6fe7a96a68e8440cd405bb92519fce639079a00ed6b6193863a39fa5a86c14,427316,https://www.war.gov/ufo/pursue-initiative/,2026-05-12T22:26:48Z,1.0.0,1,,,,,,,,
3,DOW-UAP-D65-Mission-Report-Persian-Gulf-July-2020.pdf,text,Release_1.zip,Release_1/DOW-UAP-D65-Mission-Report-Persian-Gulf-July-2020.pdf,Tranche_1,DOW,bfbc281190a14c522d854c0cf2699f82de419e8f8a455949871ccdc9175bf423,3043075,https://www.war.gov/ufo/pursue-initiative/,2026-05-12T22:26:48Z,1.0.0,8,,,,,Persian-Gulf,2020-07-01,month,Mission-Report
4,Serial-4-Redacted_Redacted.pdf,text,Release_1.zip,Release_1/Serial-4-Redacted_Redacted.pdf,Tranche_1,unknown,29ed0fb7cbe0be3c23965212bb83c58d3890a0de9253938ee4e9c9bb2349d5fe,237155,https://www.war.gov/ufo/pursue-initiative/,2026-05-12T22:26:48Z,1.0.0,2,,,,,,,,
5,18_100754_ General 1946-7_Vol_2.pdf,text,Release_1.zip,Release_1/18_100754_ General 1946-7_Vol_2.pdf,Tranche_1,unknown,85d659d6b2208610ac55e6c82cfed0315002f4b6d43963a29fb8e973258bfdd2,61464225,https://www.war.gov/ufo/pursue-initiative/,2026-05-12T22:26:48Z,1.0.0,28,,,,,,,,
6,DOW-UAP-D16-Mission-Report-Syria-July-2022.pdf,text,Release_1.zip,Release_1/DOW-UAP-D16-Mission-Report-Syria-July-2022.pdf,Tranche_1,DOW,b3b3f023d70bcce3178de9fe6a019ea6db5e5145bc7e28a49308442e190ef817,6999240,https://www.war.gov/ufo/pursue-initiative/,2026-05-12T22:26:48Z,1.0.0,7,,,,,Syria,2022-07-01,month,Mission-Report
7,FBI-Photo-B14.pdf,text,Release_1.zip,Release_1/FBI-Photo-B14.pdf,Tranche_1,unknown,54f36aa547dd25b7c099a66b2c5f52c951315906a704d6b215cb1651e7dc92f2,448290,https://www.war.gov/ufo/pursue-initiative/,2026-05-12T22:26:48Z,1.0.0,1,,,,,,,,
8,65_HS1-834228961_62-HQ-83894_Section_3.pdf,text,Release_1.zip,Release_1/65_HS1-834228961_62-HQ-83894_Section_3.pdf,Tranche_1,unknown,1a9e21457d266c408a9982485034fed73ebdbede94b3c8322ee024eaa60cfe57,50907255,https://www.war.gov/ufo/pursue-initiative/,2026-05-12T22:26:48Z,1.0.0,190,,,,,,,,
9,DOW-UAP-D75-Mission-Report-Gulf-of-Aden-July-2024.pdf,text,Release_1.zip,Release_1/DOW-UAP-D75-Mission-Report-Gulf-of-Aden-July-2024.pdf,Tranche_1,DOW,672b79390fe6595828c71e1f3df8cb0a2290f0658c36ed724e17ea167233b771,792150,https://www.war.gov/ufo/pursue-initiative/,2026-05-12T22:26:48Z,1.0.0,8,,,,,Gulf-of-Aden,2024-07-01,month,Mission-Report
10,65_HS1-834228961_62-HQ-83894_Section_1.pdf,text,Release_1.zip,Release_1/65_HS1-834228961_62-HQ-83894_Section_1.pdf,Tranche_1,unknown,47e9d92b03cd96e2af3510ae7b583ce03c6a89acc21a3cc75c0cae3773c19c35,108961866,https://www.war.gov/ufo/pursue-initiative/,2026-05-12T22:26:48Z,1.0.0,185,,,,,,,,
